item_name,number_of_steps,number_of_retries,percentage_decrease
perf_time,354,2,27.160493827160494
perf_time,234,3,51.85185185185185
perf_time,196,4,59.67078189300411
perf_time,151,5,68.93004115226337
perf_instructions,399,1,0
perf_instructions,294,2,26.31578947368421
perf_instructions,224,3,43.859649122807014
perf_instructions,160,4,59.899749373433586
perf_instructions,149,5,62.65664160401002
perf_cycles,472,1,0
perf_cycles,291,2,38.347457627118644
perf_cycles,228,3,51.69491525423729
perf_cycles,164,4,65.2542372881356
perf_cycles,167,5,64.61864406779661
perf_cache_references,290,1,0
perf_cache_references,305,2,-5.172413793103448
perf_cache_references,222,3,23.448275862068964
perf_cache_references,240,4,17.24137931034483
perf_cache_references,96,5,66.89655172413794
perf_cache_misses,538,1,0
perf_cache_misses,236,2,56.13382899628253
perf_cache_misses,207,3,61.52416356877324
perf_cache_misses,192,4,64.31226765799256
perf_cache_misses,185,5,65.61338289962825
perf_branches,331,1,0
perf_branches,275,2,16.91842900302115
perf_branches,205,3,38.066465256797585
perf_branches,169,4,48.94259818731118
perf_branches,156,5,52.87009063444109
perf_branch_misses,475,1,0
perf_branch_misses,256,2,46.10526315789474
perf_branch_misses,141,3,70.3157894736842
perf_branch_misses,159,4,66.52631578947368
perf_branch_misses,146,5,69.26315789473684
perf_cpu_clock,364,1,0
perf_cpu_clock,156,2,57.14285714285714
perf_cpu_clock,123,3,66.20879120879121
perf_cpu_clock,102,4,71.97802197802197
perf_cpu_clock,94,5,74.17582417582418
perf_task_clock,253,1,0
perf_task_clock,140,2,44.66403162055336
perf_task_clock,106,3,58.10276679841897
perf_task_clock,95,4,62.450592885375485
perf_task_clock,148,5,41.50197628458498
perf_faults,285,1,0
perf_faults,310,2,-8.771929824561402
perf_faults,190,3,33.33333333333333
perf_faults,152,4,46.666666666666664
perf_faults,118,5,58.59649122807018
weights,448,1,0
weights,314,2,29.910714285714285
weights,243,3,45.75892857142857
weights,160,4,64.28571428571429
weights,158,5,64.73214285714286
energy,362,1,0
energy,225,2,37.84530386740331
energy,148,3,59.11602209944752
energy,130,4,64.08839779005525
energy,120,5,66.85082872928176
perf_L1_dcache_loads,426,1,0
perf_L1_dcache_loads,269,2,36.85446009389671
perf_L1_dcache_loads,217,3,49.06103286384976
perf_L1_dcache_loads,177,4,58.45070422535211
perf_L1_dcache_loads,86,5,79.81220657276995
time,268,1,0
time,173,2,35.44776119402985
time,141,3,47.38805970149254
time,115,5,57.08955223880597
perf_time,274,1,0
perf_time,194,2,29.1970802919708
perf_time,145,3,47.08029197080292
perf_time,123,4,55.1094890510949
perf_time,106,5,61.31386861313869
perf_instructions,248,1,0
perf_instructions,189,2,23.790322580645164
perf_instructions,158,3,36.29032258064516
perf_instructions,126,4,49.193548387096776
perf_instructions,97,5,60.88709677419355
perf_cycles,254,1,0
perf_cycles,181,2,28.74015748031496
perf_cycles,151,3,40.55118110236221
perf_cycles,125,4,50.78740157480315
perf_cycles,102,5,59.84251968503938
perf_cache_references,269,1,0
perf_cache_references,175,2,34.94423791821561
perf_cache_references,149,3,44.60966542750929
perf_cache_references,118,4,56.13382899628253
perf_cache_references,105,5,60.966542750929364
perf_cache_misses,290,1,0
perf_cache_misses,193,2,33.44827586206897
perf_cache_misses,158,3,45.51724137931035
perf_cache_misses,113,5,61.03448275862069
perf_branches,268,1,0
perf_branches,200,2,25.37313432835821
perf_branches,148,3,44.776119402985074
perf_branches,116,4,56.71641791044776
perf_branch_misses,283,1,0
perf_branch_misses,186,2,34.275618374558306
perf_branch_misses,148,3,47.70318021201413
perf_branch_misses,123,4,56.53710247349824
perf_branch_misses,105,5,62.89752650176679
perf_cpu_clock,269,1,0
perf_cpu_clock,196,2,27.137546468401485
perf_cpu_clock,143,3,46.84014869888476
perf_cpu_clock,116,4,56.877323420074354
perf_cpu_clock,105,5,60.966542750929364
perf_task_clock,286,1,0
perf_task_clock,194,2,32.16783216783217
perf_task_clock,142,3,50.349650349650354
perf_task_clock,116,4,59.44055944055944
perf_task_clock,111,5,61.18881118881119
perf_faults,249,1,0
perf_faults,177,2,28.915662650602407
perf_faults,158,3,36.54618473895582
perf_faults,126,4,49.39759036144578
perf_faults,112,5,55.020080321285135
weights,62,1,0
weights,34,2,45.16129032258064
weights,30,3,51.61290322580645
perf_L1_dcache_loads,171,3,37.362637362637365
time,155,4,42.16417910447761
perf_cache_misses,156,4,46.206896551724135
